acheteur,acheteuse,acheteur.euse,,
acquéreur,acquéreuse; acquéresse (droit),acquéreur.euse,,
actuaire,actuaire,actuaire,,
acuponcteur,acuponctrice,acuponcteur.rice,,
adjoint,adjointe,adjoint.e,,
adjoint administratif,adjointe administrative,adjoint.e administrati.f.ve,,
administrateur,administratrice,administrat.eur.rice,,
agent,agente,agent.e,,
agent immobilier,agente immobilière,agent.e immobilier.e,,
agriculteur,agricultrice,agriculteur.rice / paysan.ne,,
agronome,agronome,agronome,,
agresseur,agresseuse,agresseu.r.se,,
aide-comptable,aide-comptable,aide-comptable,,
aide-mécanicien,aide-mécanicienne,aide-mécanicien.ne,,
ajusteur,ajusteuse,ajusteur.se,,
ambulancier,ambulancière,ambulancier.e,,
ambassadeur,ambassadrice,ambassadeur.drice,,
analyste financier,analyste financière,analyste financier.ère,,
animateur,animatrice,animateur.trice,,
annonceur,annonceuse,annonceur.euse,,
apiculteur,apicultrice,apiculteur.trice,,
appariteur,apparitrice,appariteur.trice,,
applicateur,applicatrice,applicateur.trice,,
apprenti,apprentie,apprenti.e,,
arbitre,arbitre,arbitre,,
arboriculteur,arboricultrice,arboriculteur.trice,,
archéologue,archéologue,archéologue,,
architecte,architecte,architecte,,
archiviste,archiviste,archiviste,,
arpenteur-géomètre,arpenteuse-géomètre,arpenteur.se-géomètre,,
artisan,artisane,artisan.e,,
assembleur,assembleuse,assembleur.euse,,
assistant,assistante,assistant.e,,
associé,associée,associé.e,,
assureur,assureure,assureur.e,,
astrologue,astrologue,astrologue,,
astronome,astronome,astronome,,
attaché,attachée,attaché.e,,
auteur,auteure / autrice,auteur.e,,
auxiliaire,auxiliaire,auxiliaire,,
aviculteur,avicultrice,aviculteur.trice,,
avocat,avocate,avocat.e,,
ayant droit,ayant droit,un.e ayant-droit,,
bagagiste,bagagiste,bagagiste,,
banquier,banquière,banquièr.e,,
bibliothécaire,bibliothécaire,bibliothécaire,,
bijoutier,bijoutière,bijoutièr.e,,
biologiste,biologiste,biologiste,,
blanchisseur,blanchisseuse,blanchisseur.euse,,
botaniste,botaniste,botaniste,,
bottier,bottière,bottier.ère,,
boucher,bouchère,boucher.ère,,
boulanger-pâtissier,boulangère-pâtissière,boulanger.ère-patissier.ère,,
boursier,boursière,boursier.ère,,
boxeur,boxeuse,boxeu.r.se,,
brigadier,brigadière,bigadier.ère,,
briqueteur-maçon,briqueteuse-maçonne,briqueteur.euse-maçon.ne,,
bruiteur,bruiteuse,bruiteu.,,
buandier,buandière,buandier.ère,,
bûcheron,bûcheronne,bucheron.ne,,
cadet,cadette,cadet.te,,
cadre,cadre,cadre,,
cadreur,cadreuse,caadreur.euse,,
caissier,caissière,caissier.ère,,
cambiste,cambiste,cambiste,,
camelot,camelot,camelot,,
caméraman,camérawoman,,,
camionneur,camionneuse,camionneur.se,,
cardiologue,cardiologue,cardiologue,,
cartographe,cartographe,cartographe,,
cascadeur,cascadeuse,cascadeur.se,,
catalogueur,catalogueuse,catalogueur.se,,
cégépien,cégépienne,cégépien.ne,,
chanteur,chanteuse; cantatrice,chanteur.euse,,
charpentier,charpentière,charpentier.ère,,
chasseur de têtes,chasseuse de têtes,chasseur.euse de tête,,
chauffeur,chauffeuse,chauffeur.euse,,
chef,cheffe,chef.fe,,
chercheur,chercheuse,chercheur.euse,,
chiropraticien,chiropraticienne,chiropracticien.ne,,
chirurgien,chirurgienne,chirurgien.ne,,
chômeur,chômeuse,chômeur.euse / privé.e.s d'emploi,,
chorégraphe,chorégraphe,chorégraphe,,
chroniqueur,chroniqueuse,chroniqueur.euse,,
coiffeur,coiffeuse,coiffeur.euse,,
comédien,comédienne,comédien.ne,,
commis,commis.e,commis.e,,
commis-vendeur,commis-vendeuse,commis.e-vendeur.euse,,
commissaire,commissaire,commissaire,,
communicateur,communicatrice,communicateur.trice,,
compositeur,compositrice,compositeur.trice,,
concepteur,conceptrice,concepteur.trice,,
concierge,concierge,concierge,,
conducteur,conductrice,conducteur.trice,,
conférencier,conférencière,conférencier.ère,,
conseil,conseil,conseil,,
conseiller,conseillère,conseiller.ère,,
conservateur,conservatrice,conservateur.rice,,
consul,consule,consul.e,,
consultant,consultante,consultant.e,,
contractuel,contractuelle,contractue.le,,
contremaître,contremaîtresse,contremaître.sse,,
contrôleur,contrôleuse,contrôleur.euse,,
coopérant,coopérante,coopérant.e,,
coordonnateur,coordonnatrice,coordonateur.rice,,
copiste,copiste,copiste,,
cordonnier,cordonnière,cordonnier.ère,,
coroner,coroner,,,
correcteur,correctrice,correcteur.rice,,
correspondancier,correspondancière,correspondancier.ère,,
courrier,courrière,courrier.ère,,
courtier,courtière,courtier.ère,,
couseur,couseuse,couseur.euse,,
couturier,couturière,couturier.ère,,
couvreur,couvreuse,couvreur.euse,,
créateur,créatrice,créateur.rice,,
croupier,croupière,croupier.ère,,
cuisinier,cuisinière,cuisinier.ère,,
cultivateur,cultivatrice,cultivateur.rice,,
danseur,danseuse,danseur.se,,
danseur de ballet,ballerine; danseuse de ballet,,,
débardeur,débardeuse,,,
débosseleur,débosseleuse,,,
décorateur,décoratrice,,,
défendeur,défenderesse (droit),,,
défenseur,défenseuse,,,
délateur,délatrice,,,
délégué,déléguée,,,
demandeur,demandeuse; demanderesse (droit),,,
déménageur,déménageuse,,,
démonstrateur,démonstratrice,,,
dentiste,dentiste,dentiste,,
denturologiste,denturologiste,,,
dépanneur,dépanneuse,,,
député,députée,,,
dessinateur,dessinatrice,,,
détective,détective,,,
détenteur,détentrice,,,
diététiste,diététiste,diététiste,,
diplomate,diplomate,diplomate,,
diplômé,diplômée,,,
directeur,directrice,,,
dirigeant,dirigeante,,,
docteur,docteure,,,
documentaliste,documentaliste,,,
doyen,doyenne,,,
ébéniste,ébéniste,ébéniste,,
éboueur,éboueuse,,,
éclairagiste,éclairagiste,,,
économiste-conseil,économiste-conseil,,,
écrivain,écrivaine,,,
éditeur,éditrice,,,
éditorialiste,éditorialiste,éditorialiste,,
éducateur,éducatrice,,,
électricien,électricienne,,,
éleveur,éleveuse,,,
emballeur,emballeuse,,,
embaumeur,embaumeuse,,,
émetteur,émettrice,,,
employeur,employeuse,,,
emprunteur,emprunteuse,,,
enquêteur,enquêteuse,,,
enseignant,enseignante,,,
entraîneur,entraîneuse,,,
entrepreneur,entrepreneuse,,,
ergothérapeute,ergothérapeute,ergothérapeute,,
essayeur,essayeuse,,,
esthéticien,esthéticienne,,,
estimateur,estimatrice,,,
étalagiste,étalagiste,,,
évaluateur,évaluatrice,,,
examinateur,examinatrice,,,
expert,experte,,,
expert-comptable,experte-comptable,,,
exploitant,exploitante,,,
fabricant,fabricante,,,
facteur,factrice,,,
ferblantier,ferblantière,,,
ferrailleur,ferrailleuse,,,
financier,financière,,,
fleuriste,fleuriste,,,
fondeur,fondeuse,,,
foreur,foreuse,,,
forgeron,forgeronne,,,
formateur,formatrice,,,
fournisseur,fournisseuse,,,
fraiseur,fraiseuse,,,
franchiseur,franchiseuse,,,
garde,garde,garde,,
garde forestier,garde forestière,,,
gardien,gardienne,,,
généticien,généticienne,,,
géologue,géologue,géologue,,
géomètre,géomètre,géomètre,,
géophysicien,géophysicienne,,,
gérant,gérante,,,
gestionnaire,gestionnaire,gestionnaire,,
gouverneur,gouverneure,,,
graveur,graveuse,,,
greffier,greffière,,,
guichetier,guichetière,,,
guide,guide,guide,,
habilleur,habilleuse,,,
homme d’affaires,femme d’affaires,,,
homme-grenouille,femme-grenouille,,,
horloger,horlogère,,,
horticulteur,horticultrice,,,
hôte,hôte (qui est reçue); hôtesse (qui reçoit),,,
hôtelier,hôtelière,,,
huileur,huileuse,,,
huissier,huissière,,,
hygiéniste,hygiéniste,hygiéniste,,
illustrateur,illustratrice,,,
imprésario,imprésario,imprésario,,
imprimeur,imprimeuse,,,
industriel,industrielle,,,
infirmier,infirmière,,,
infographiste,infographiste,infographiste,,
informaticien,informaticienne,,,
ingénieur,ingénieure,,,
ingénieur chimiste,ingénieure chimiste,,,
ingénieur civil,ingénieure civile,,,
ingénieur forestier,ingénieure forestière,,,
inspecteur,inspectrice,,,
instituteur,institutrice,,,
instructeur,instructrice,,,
intendant,intendante,,,
intérimaire,intérimaire,,,
interlocuteur,interlocutrice,,,
interprète,interprète,interprète,,
intervenant,intervenante,,,
intervieweur,intervieweuse,,,
investisseur,investisseuse,,,
jardinier,jardinière,,,
journaliste,journaliste,,,
journaliste sportif,journaliste sportive,,,
juge,juge,,,
juré,jurée,,,
juriste,juriste,juriste,,
lamineur,lamineuse,,,
langagier,langagière,,,
lecteur,lectrice,,,
législateur,législatrice,,,
lieutenant-gouverneur,lieutenante-gouverneure,,,
linguiste,linguiste,linguiste,,
machiniste,machiniste,machiniste,,
maçon,maçonne,,,
magasinier,magasinière,,,
magistrat,magistrate,,,
maire,mairesse,,,
maître,maître; maîtresse,,,
malfaiteur,malfaitrice,,,
mannequin,mannequin,,,
manœuvre,manœuvre,manœuvre,,
maquilleur,maquilleuse,,,
maraîcher,maraîchère,,,
marchand,marchande,,,
marguillier,marguillière,,,
marin,marin,marin,,
masseur,masseuse,,,
matelot,matelot,,,
mathématicien,mathématicienne,,,
mécanicien,mécanicienne,,,
mécène,mécène,,,
médecin,médecin,,,
médiateur,médiatrice,,,
membre,membre,,,
menuisier,menuisière,,,
messager,messagère,,,
météorologue,météorologue,,,
metteur en scène,metteure en scène,,,
meunier,meunière,,,
mineur,mineuse,,,
ministre,ministre,ministre,,
modiste,modiste,modiste,,
moniteur,monitrice,,,
monteur,monteuse,,,
narrateur,narratrice,,,
naturopraticien,naturopraticienne,,,
navigateur,navigatrice,,,
nettoyeur,nettoyeuse,,,
notaire,notaire,notaire,,
officier,officière,,,
omnipraticien,omnipraticienne,,,
opérateur,opératrice,,,
opticien,opticienne,,,
orateur,oratrice,,,
orchestrateur,orchestratrice,,,
orfèvre,orfèvre,,,
orienteur,orienteuse,,,
ouvrier,ouvrière,,,
pâtissier,pâtissière,,,
patrouilleur,patrouilleuse,,,
paysagiste,paysagiste,,,
pédologue,pédologue,,,
peintre,peintre,,,
percepteur,perceptrice,,,
perruquier,perruquière,,,
pharmacien,pharmacienne,,,
physicien,physicienne,,,
physiothérapeute,physiothérapeute,,,
pigiste,pigiste,pigiste,,
pilote,pilote,,,
pisciculteur,piscicultrice,,,
plâtrier,plâtrière,,,
plombier,plombière,,,
plongeur,plongeuse,,,
poète,poète,,,
policier,policière,,,
polisseur,polisseuse,,,
pompier,pompière,,,
porte-parole,porte-parole,,,
poseur,poseuse,,,
postulant,postulante,,,
potier,potière,,,
pourvoyeur,pourvoyeuse,,,
praticien,praticienne,,,
précurseur,précurseure,,,
prédécesseur,prédécesseure,,,
préfet,préfète,,,
premier ministre,première ministre,,,
préposé,préposée,,,
présentateur,présentatrice,,,
président,présidente,,,
principal,principale,,,
procureur,procureure,,,
producteur,productrice,,,
professeur,professeure,,,
professeur-chercheur,professeure-chercheuse,,,
programmateur,programmatrice,,,
programmeur,programmeuse,,,
promoteur,promotrice,,,
prospecteur,prospectrice,,,
puériculteur,puéricultrice,,,
radiologiste,radiologiste,radiologiste,,
radiologue,radiologue,radiologue,,
rapporteur,rapporteuse,,,
réalisateur,réalisatrice,,,
recenseur,recenseuse,,,
réceptionniste,réceptionniste,réceptionniste,,
recruteur,recruteuse,,,
recteur,rectrice,,,
rédacteur,rédactrice,,,
régisseur,régisseuse,,,
registraire,registraire,,,
rembourreur,rembourreuse,,,
remplaçant,remplaçante,,,
réparateur,réparatrice,,,
répartiteur,répartitrice,,,
repasseur,repasseuse,,,
répétiteur,répétitrice,,,
répondant,répondante,,,
reporteur,reporteuse,,,
représentant,représentante,,,
requérant,requérante,,,
responsable,responsable,responsable,,
restaurateur,restauratrice,,,
retraité,retraitée,,,
réviseur,réviseure,,,
sapeur-pompier,sapeuse-pompière,,,
sauveteur,sauveteuse,,,
scrutateur,scrutatrice,,,
sculpteur,sculpteuse,,,
secrétaire,secrétaire,secrétaire,,
secrétaire-trésorier,secrétaire-trésorière,,,
sénateur,sénatrice,,,
sergent,sergente,sergent.e,,
serrurier,serrurière,,,
serveur,serveuse,,,
soigneur,soigneuse,,,
solliciteur,solliciteuse,,,
soudeur,soudeuse,,,
souffleur,souffleuse,,,
sous-ministre,sous-ministre,sous-ministre,,
sous-traitant,sous-traitante,sous-traitant.e,,
stagiaire,stagiaire,stagiaire,,
statisticien,statisticienne,statisticien.ne,,
substitut,substitut,substitut,,
successeur,successeure,,,
supérieur,supérieure,supérieur.e,,
superviseur,superviseuse,superviseur.euse,,
surintendant,surintendante,surintendant.e,,
surveillant,surveillante,surveillant.e,,
syndic,syndique,syndic.que,,
tailleur,tailleuse,tailleu.r.se,,
tapissier,tapissière,tapissier.ère,,
technicien,technicienne,technicien.ne,,
téléphoniste,téléphoniste,téléphoniste,,
teneur de livres,teneuse de livres,teneu.r.se de livres,,
terminologue,terminologue,terminologue,,
tisserand,tisserande,tisserand.e,,
traducteur,traductrice,traduct.eur.rice,,
traiteur,traiteuse,traiteu.r.se,,
travailleur,travailleuse,travailleu.r.se,,
travailleur social,travailleuse sociale,travailleu.r.se sociale,,
trésorier,trésorière,trésorier.ère,,
trieur,trieuse,trieu.r.se,,
tuteur,tutrice,tut.eur.rice,,
tuyauteur,tuyauteuse,tuyauteu.r.se,,
typographe,typographe,typographe,,
urgentologue,urgentologue,urgentologue,,
usager,usagère,usager.ère,,
utilisateur,utilisatrice,utilisateur.trice,,
vendeur,vendeuse,veudeur.euse,,
vérificateur,vérificatrice,vérificateur.trice,,
vétérinaire,vétérinaire,vétérinaire,,
vice-président,vice-présidente,vice-président.e,,
vitrier,vitrière,vitrier.ère,,
voyagiste,voyagiste,voyagiste,,
voyant,voyante,voyant.e,,
zoologiste,zoologiste,zoologiste,,
zootechnicien,zootechnicienne,zootechnicien.ne,,
