acheteur,acheteuse,acheteu.r.se,,
acquéreur,acquéreuse; acquéresse (droit),acquéreu.r.se,,
actuaire,actuaire,actuaire,,
acuponcteur,acuponctrice,acuponc.teur.trice,,
adjoint,adjointe,adjoint.e,,
adjoint administratif,adjointe administrative,adjoint.e administrati.f.ve,,
administrateur,administratrice,administra.teur.trice,,
agent,agente,agent.e,,
agent immobilier,agente immobilière,agent.e immobilier.e,,
agriculteur,agricultrice,agricul.teur.trice / paysan.ne,,
agronome,agronome,agronome,,
agresseur,agresseuse,agresseu.r.se,,
aide-comptable,aide-comptable,aide-comptable,,
aide-mécanicien,aide-mécanicienne,aide-mécanicien.ne,,
ajusteur,ajusteuse,ajusteu.r.se,,
ambulancier,ambulancière,ambulancier.e,,
ambassadeur,ambassadrice,ambassadeur.drice,,
analyste financier,analyste financière,analyste financier.ère,,
animateur,animatrice,anima.teur.trice,,
annonceur,annonceuse,annonceu.r.se,,
apiculteur,apicultrice,apicul.teur.trice,,
appariteur,apparitrice,appari.teur.trice,,
applicateur,applicatrice,applica.teur.trice,,
apprenti,apprentie,apprenti.e,,
arbitre,arbitre,arbitre,,
arboriculteur,arboricultrice,arboricul.teur.trice,,
archéologue,archéologue,archéologue,,
architecte,architecte,architecte,,
archiviste,archiviste,archiviste,,
arpenteur-géomètre,arpenteuse-géomètre,arpenteur.se-géomètre,,
artisan,artisane,artisan.e,,
assembleur,assembleuse,assembleu.r.se,,
assistant,assistante,assistant.e,,
associé,associée,associé.e,,
assureur,assureure,assureu.r.e,,
astrologue,astrologue,astrologue,,
astronome,astronome,astronome,,
attaché,attachée,attaché.e,,
auteur,auteure / autrice,au.teur.trice,,
auxiliaire,auxiliaire,auxiliaire,,
aviculteur,avicultrice,avicul.teur.trice,,
avocat,avocate,avocat.e,,
ayant droit,ayant droit,un.e ayant-droit,,
bagagiste,bagagiste,bagagiste,,
banquier,banquière,banquièr.e,,
bibliothécaire,bibliothécaire,bibliothécaire,,
bijoutier,bijoutière,bijoutièr.e,,
biologiste,biologiste,biologiste,,
blanchisseur,blanchisseuse,blanchisseu.r.se,,
botaniste,botaniste,botaniste,,
bottier,bottière,bottier.ère,,
boucher,bouchère,bouch.er.ère,,
boulanger-pâtissier,boulangère-pâtissière,boulanger.ère-patissier.ère,,
boursier,boursière,boursier.ère,,
boxeur,boxeuse,boxeu.r.se,,
brigadier,brigadière,bigadier.ère,,
briqueteur-maçon,briqueteuse-maçonne,briqueteur.euse-maçon.ne,,
bruiteur,bruiteuse,bruiteu.r.se,,
buandier,buandière,buandier.e,,
bûcheron,bûcheronne,bucheron.ne,,
cadet,cadette,cadet.te,,
cadre,cadre,cadre,,
cadreur,cadreuse,cadreu.r.se,,
caissier,caissière,caissier.e,,
cambiste,cambiste,cambiste,,
camelot,camelot,camelot,,
camionneur,camionneuse,camionneu.r.se,,
cardiologue,cardiologue,cardiologue,,
cartographe,cartographe,cartographe,,
cascadeur,cascadeuse,cascadeu.r.se,,
catalogueur,catalogueuse,catalogueur.se,,
cégépien,cégépienne,cégépie.n.ne,,
chanteur,chanteuse; cantatrice,chanteu.r.se,,
charpentier,charpentière,charpentier.e,,
chasseur de têtes,chasseuse de têtes,chasseur.euse de tête,,
chauffeur,chauffeuse,chauffeu.r.se,,
chef,cheffe,chef.fe,,
chercheur,chercheuse,chercheu.r.se,,
chiropraticien,chiropraticienne,chiropracticie.n.ne,,
chirurgien,chirurgienne,chirurgie.n.ne,,
chômeur,chômeuse,chômeu.r.se / privé.e. d'emploi,,
chorégraphe,chorégraphe,chorégraphe,,
chroniqueur,chroniqueuse,chroniqueu.r.se,,
coiffeur,coiffeuse,coiffeu.r.se,,
comédien,comédienne,comédie.n.ne,,
commis,commis.e,commis.e,,
commis-vendeur,commis-vendeuse,commis.e-vendeu.r.se,,
commissaire,commissaire,commissaire,,
communicateur,communicatrice,communica.teur.trice,,
communicant,communicante,communicant.e,,
compositeur,compositrice,composi.teur.trice,,
concepteur,conceptrice,concep.teur.trice,,
concierge,concierge,concierge,,
conducteur,conductrice,conduc.teur.trice,,
conférencier,conférencière,conférencier.e,,
conseil,conseil,conseil,,
conseiller,conseillère,conseiller.e,,
conservateur,conservatrice,conserva.teur.trice,,
consul,consule,consul.e,,
consultant,consultante,consultant.e,,
contractuel,contractuelle,contractue.l.le,,
contremaître,contremaîtresse,contremaître.sse,,
contrôleur,contrôleuse,contrôleu.r.se,,
coopérant,coopérante,coopérant.e,,
coordonnateur,coordonnatrice,coordona.teur.trice,,
copiste,copiste,copiste,,
cordonnier,cordonnière,cordonnier.e,,
coroner,coroner,coroner,,
correcteur,correctrice,correc.teur.trice,,
correspondancier,correspondancière,correspondancier.e,,
courrier,courrière,courrier.e,,
courtier,courtière,courtier.e,,
couseur,couseuse,couseu.r.se,,
couturier,couturière,couturier.e,,
couvreur,couvreuse,couvreu.r.euse,,
créateur,créatrice,créa.teur.trice,,
croupier,croupière,croupier.e,,
cuisinier,cuisinière,cuisinier.e,,
cultivateur,cultivatrice,cultiva.teur.trice,,
danseur,danseuse,danseu.r.se,,
danseur de ballet,ballerine; danseuse de ballet,ballerine/danseu.r.se de ballet,,
débardeur,débardeuse,débardeu.r.se,,
débosseleur,débosseleuse,débosseleu.r.se,,
décorateur,décoratrice,décora.teur.trice,,
défendeur,défenderesse (droit),défend.eur.eresse,,
défenseur,défenseuse,défenseu.r.se,,
délateur,délatrice,déla.teur.trice,,
délégué,déléguée,délégué.e,,
déménageur,déménageuse,déménageu.r.se,,
démonstrateur,démonstratrice,démonstra.teur.trice,,
dentiste,dentiste,dentiste,,
denturologiste,denturologiste,denturologiste,,
dépanneur,dépanneuse,dépanneu.r.se,,
député,députée,député.e,,
dessinateur,dessinatrice,dessina.teur.trice,,
détective,détective,détective,,
détenteur,détentrice,déten.teur.trice,,
diététiste,diététiste,diététiste,,
diplomate,diplomate,diplomate,,
diplômé,diplômée,diplômé.e,,
directeur,directrice,direc.teur.trice,,
dirigeant,dirigeante,dirigeant.e,,
docteur,docteure,docteur.e,,
documentaliste,documentaliste,documentaliste,,
doyen,doyenne,doye.n.ne,,
ébéniste,ébéniste,ébéniste,,
éboueur,éboueuse,éboueu.r.se,,
éclairagiste,éclairagiste,éclairagiste,,
économiste-conseil,économiste-conseil,économiste-conseil,,
écrivain,écrivaine,écrivain.e,,
éditeur,éditrice,édi.teur.trice,,
éditorialiste,éditorialiste,éditorialiste,,
éducateur,éducatrice,éduca.teur.trice,,
électricien,électricienne,électricie.n.ne,,
éleveur,éleveuse,éleveu.r.se,,
emballeur,emballeuse,emballeu.r.se,,
embaumeur,embaumeuse,embaumeu.r.se,,
émetteur,émettrice,émet.teur.trice,,
employeur,employeuse,emplouey.r.se,,
emprunteur,emprunteuse,emprunteu.r.se,,
enquêteur,enquêtrice,enquê.teur.trice,,
enseignant,enseignante,enseignant.e,,
entraîneur,entraîneuse,entraîneu.r.se,,
entrepreneur,entrepreneuse,entrepreneu.r.se,,
ergothérapeute,ergothérapeute,ergothérapeute,,
essayeur,essayeuse,essayeu.r.se,,
esthéticien,esthéticienne,esthéticie.n.ne,,
estimateur,estimatrice,estima.teur.trice,,
étalagiste,étalagiste,étalagiste,,
évaluateur,évaluatrice,évalua.teur.trice,,
examinateur,examinatrice,examina.teur.trice,,
expert,experte,expert.e,,
expert-comptable,experte-comptable,expert.e-comptable,,
exploitant,exploitante,exploitant.e,,
fabricant,fabricante,fabricant.e,,
facteur,factrice,fac.teur.trice,,
ferblantier,ferblantière,ferblantier.e,,
ferrailleur,ferrailleuse,ferrailleu.r.se,,
financier,financière,financier.e,,
fleuriste,fleuriste,fleuriste,,
fondeur,fondeuse,fondeu.r.se,,
foreur,foreuse,foreu.r.se,,
forgeron,forgeronne,forgeron.ne,,
formateur,formatrice,forma.teur.trice,,
fournisseur,fournisseuse,fournisseu.r.se,,
fraiseur,fraiseuse,fraiseu.r.se,,
franchiseur,franchiseuse,franchiseu.r.se,,
garde,garde,garde,,
garde forestier,garde forestière,garde forestier.e,,
gardien,gardienne,gardie.n.ne,,
généticien,généticienne,généticie.n.ne,,
géologue,géologue,géologue,,
géomètre,géomètre,géomètre,,
géophysicien,géophysicienne,géophysicie.n.ne,,
gérant,gérante,gérant.e,,
gestionnaire,gestionnaire,gestionnaire,,
gouverneur,gouverneure,gouverneur.e,,
graveur,graveuse,graveu.r.se,,
greffier,greffière,greffier.e,,
guichetier,guichetière,guichetier.e,,
guide,guide,guide,,
habilleur,habilleuse,habilleu.r.se,,
horloger,horlogère,horloger.ère,,
horticulteur,horticultrice,horticulteur.trice,,
hôte,hôte (qui est reçue); hôtesse (qui reçoit),hôte; hôte.sse,,
hôtelier,hôtelière,hôtelier.ère,,
huileur,huileuse,huileur.se,,
huissier,huissière,huissier.ère,,
hygiéniste,hygiéniste,hygiéniste,,
illustrateur,illustratrice,illustrateur.trice,,
imprésario,imprésario,imprésario,,
imprimeur,imprimeuse,imprimeur.se,,
industriel,industrielle,insdustriel.le,,
infirmier,infirmière,infirmier.ère,,
infographiste,infographiste,infographiste,,
informaticien,informaticienne,informaticien.ne,,
ingénieur,ingénieure,ingénieur.e,,
ingénieur chimiste,ingénieure chimiste,ingénieur.e chimiste,,
ingénieur civil,ingénieure civile,ingénieur.e civil.e,,
ingénieur forestier,ingénieure forestière,ingénieur.e forestier.ère,,
inspecteur,inspectrice,inspecteur.trice,,
instituteur,institutrice,instituteur.trice,,
instructeur,instructrice,instructeur.trice,,
intendant,intendante,intendant.e,,
intérimaire,intérimaire,intérimaire,,
interlocuteur,interlocutrice,interlocuteur.trice,,
interprète,interprète,interprète,,
intervenant,intervenante,intervenant.e,,
intervieweur,intervieweuse,intervieweur.se,,
investisseur,investisseuse,investisseur.se,,
jardinier,jardinière,jardinier.ère,,
journaliste,journaliste,journaliste,,
journaliste sportif,journaliste sportive,journaliste sportif.ve,,
juge,juge,juge,,
juré,jurée,juré.e,,
juriste,juriste,juriste,,
lamineur,lamineuse,lamineur.se,,
langagier,langagière,langagier.ère,,
lecteur,lectrice,lecteur.trice,,
législateur,législatrice,légalisateur.trice,,
lieutenant-gouverneur,lieutenante-gouverneure,lieutenant.e-gourverneur.e,,
linguiste,linguiste,linguiste,,
machiniste,machiniste,machiniste,,
maçon,maçonne,maçon.ne,,
magasinier,magasinière,magasinier.ère,,
magistrat,magistrate,magistrat.e,,
maire,maire,maire,maire,
maître,maître; maîtresse,maître.sse,,
malfaiteur,malfaitrice,malfaiteur.trice,,
mannequin,mannequin,mannequin,mannequin,
manœuvre,manœuvre,manœuvre,manœuvre,
maquilleur,maquilleuse,maquilleur.se,,
maraîcher,maraîchère,maraîcher.ère,,
marchand,marchande,marchand.e,,
marguillier,marguillière,marguillier.ère,,
marin,marin,marin,,
masseur,masseuse,masseur.se,,
matelot,matelot,matelot,,
mathématicien,mathématicienne,mathématicien.ne,,
mécanicien,mécanicienne,mécanicien.ne,,
mécène,mécène,mécène,mécène,
médecin,médecin,médecin,médecin,
médiateur,médiatrice,médiateur.trice,,
membre,membre,membre,membre,
menuisier,menuisière,menuisier.ère,,
messager,messagère,messager.ère,,
météorologue,météorologue,météorologue,météorologue,
metteur en scène,metteuse en scène,metteur.se en scène,,
meunier,meunière,meunier.ère,,
mineur,mineuse,mineur.se,,
ministre,ministre,ministre,ministre,
modiste,modiste,modiste,modiste,
moniteur,monitrice,moniteur.trice,,
monteur,monteuse,monteur.se,,
narrateur,narratrice,narrateur.trice,,
naturopraticien,naturopraticienne,naturopracticien.ne,,
navigateur,navigatrice,navigateur.trice,,
nettoyeur,nettoyeuse,nettoyeur.se,,
notaire,notaire,notaire,notaire,
officier,officière,officier.ère,,
omnipraticien,omnipraticienne,omnipraticien.ne,,
opérateur,opératrice,opérateur.trice,,
opticien,opticienne,opticien.ne,,
orateur,oratrice,orateur.trice,,
orchestrateur,orchestratrice,orchestrateur.trice,,
orfèvre,orfèvre,orfèvre,orfèvre,
orienteur,orienteuse,orienteur.se,,
ouvrier,ouvrière,ouvrier.ère,,
pâtissier,pâtissière,patissier.ère,,
patrouilleur,patrouilleuse,patrouilleur.se,,
paysagiste,paysagiste,paysagiste,paysagiste,
pédologue,pédologue,pédologue,pédologue,
peintre,peintre,peintre,peintre,
percepteur,perceptrice,percepteur.trice,,
perruquier,perruquière,perruquier.ère,,
pharmacien,pharmacienne,pharmacien.ne,,
physicien,physicienne,physicien.ne,,
physiothérapeute,physiothérapeute,physiothérapeute,physiothérapeute,
pigiste,pigiste,pigiste,pigiste,
pilote,pilote,pilote,pilote,
pisciculteur,piscicultrice,pisciculteur.trice,,
plâtrier,plâtrière,platrier.ère,,
plombier,plombière,plombie.ère,,
plongeur,plongeuse,plongeur.se,,
poète,poète,poète,poète,
policier,policière,policier.ère,,
polisseur,polisseuse,polisseur.polisseuse,,
pompier,pompière,pompier.ère,,
porte-parole,porte-parole,porte-parole,porte-parole,
poseur,poseuse,poseur.se,,
postulant,postulante,postulant.e,,
potier,potière,potier.ère,,
pourvoyeur,pourvoyeuse,pourvoyeur.se,,
praticien,praticienne,praticien.ne,,
précurseur,précurseure,précurseur.se,,
prédécesseur,prédécesseure,prédécesseur.e,,
préfet,préfète,préfet.ète,,
premier ministre,première ministre,premier.ère ministre,,
préposé,préposée,préposé.e,,
présentateur,présentatrice,présentateur.trice,,
président,présidente,président.e,,
principal,principale,principal.e,,
procureur,procureure,procureur.e,,
producteur,productrice,producteur.trice,,
professeur,professeure,professeur.e,,
professeur-chercheur,professeure-chercheuse,professeur.e-chercheur.se,,
programmateur,programmatrice,programmateur.trice,,
programmeur,programmeuse,programmeur.se,,
promoteur,promotrice,promoteur.trice,,
prospecteur,prospectrice,prospecteur.trice,,
puériculteur,puéricultrice,puériculteur.trice,,
radiologiste,radiologiste,radiologiste,,
radiologue,radiologue,radiologue,radiologue,
rapporteur,rapporteuse,rapporteur.se,,
réalisateur,réalisatrice,réalisateur.trice,,
recenseur,recenseuse,recenseur.se,,
réceptionniste,réceptionniste,réceptionniste,,
recruteur,recruteuse,recruteur.se,,
recteur,rectrice,recteur.trice,,
rédacteur,rédactrice,redacteur.trice,,
régisseur,régisseuse,régisseur.se,,
registraire,registraire,registraire,registraire,
rembourreur,rembourreuse,rembourreur.se,,
remplaçant,remplaçante,remplaçant.e,,
réparateur,réparatrice,réparateur.trice,,
répartiteur,répartitrice,répartiteur.trice,,
repasseur,repasseuse,repasseur.se,,
répétiteur,répétitrice,répétiteur.trice,,
répondant,répondante,répondant.e,,
reporteur,reporteuse,reporteur.se,,
représentant,représentante,représentant.e,,
requérant,requérante,requérant.e,,
responsable,responsable,responsable,,
restaurateur,restauratrice,restaurateur.trice,,
retraité,retraitée,retraité.e,,
réviseur,réviseure,réviseur.e,,
sapeur-pompier,sapeuse-pompière,sapeur.se-pompier.ère,,
sauveteur,sauveteuse,sauveteur.se,,
scrutateur,scrutatrice,scrutateur.trice,,
sculpteur,sculptrice,sculpteur.trice,,
secrétaire,secrétaire,secrétaire,secrétaire,
secrétaire-trésorier,secrétaire-trésorière,secrétaire-trésorier.ère,,
sénateur,sénatrice,sénateur.trice,,
sergent,sergente,sergent.e,,
serrurier,serrurière,serrurier.ère,,
serveur,serveuse,serveur.se,,
soigneur,soigneuse,soigneur.se,,
solliciteur,solliciteuse,solliciteur.se,,
soudeur,soudeuse,soudeur.se,,
souffleur,souffleuse,souffleur.se,,
sous-ministre,sous-ministre,sous-ministre,,
sous-traitant,sous-traitante,sous-traitant.e,,
stagiaire,stagiaire,stagiaire,,
statisticien,statisticienne,statisticien.ne,,
substitut,substitut,substitut,,
supérieur,supérieure,supérieur.e,,
superviseur,superviseuse,superviseur.euse,,
surintendant,surintendante,surintendant.e,,
surveillant,surveillante,surveillant.e,,
syndic,syndique,syndic.que,,
tailleur,tailleuse,tailleu.r.se,,
tapissier,tapissière,tapissier.ère,,
technicien,technicienne,technicien.ne,,
téléphoniste,téléphoniste,téléphoniste,,
teneur de livres,teneuse de livres,teneu.r.se de livres,,
terminologue,terminologue,terminologue,,
tisserand,tisserande,tisserand.e,,
traducteur,traductrice,traduct.eur.rice,,
traiteur,traiteuse,traiteu.r.se,,
travailleur,travailleuse,travailleu.r.se,,
travailleur social,travailleuse sociale,travailleu.r.se sociale,,
trésorier,trésorière,trésorier.ère,,
trieur,trieuse,trieu.r.se,,
tuteur,tutrice,tut.eur.rice,,
tuyauteur,tuyauteuse,tuyauteu.r.se,,
typographe,typographe,typographe,,
urgentologue,urgentologue,urgentologue,,
usager,usagère,usager.ère,,
utilisateur,utilisatrice,utilisateur.trice,,
vendeur,vendeuse,veudeur.euse,,
vérificateur,vérificatrice,vérificateur.trice,,
vétérinaire,vétérinaire,vétérinaire,,
vice-président,vice-présidente,vice-président.e,,
vitrier,vitrière,vitrier.ère,,
voyagiste,voyagiste,voyagiste,,
voyant,voyante,voyant.e,,
zoologiste,zoologiste,zoologiste,,
zootechnicien,zootechnicienne,zootechnicien.ne,,