DOUBLE_FLEXION_MASC,DOUBLE_FLEXION_FEM,LECTURE_SILENCIEUSE,NUITDEBOUTISTE ,DEBINARISANTE,VERSION_LES_MOTS_CLÉS
achet,,,,,
acheteur,acheteuse,acheteur·euse,achet·eur·euse,pas d'usage connu,acheteur·euse
acquéreur,acquéreuse; acquéresse (droit),acquéreur·euse,acquéreu⋅r⋅se,pas d'usage connu ,acquéreur·euse
actuaire,actuaire,actuaire,actuaire,actuaire,actuaire
acupuncteur,acupunctrice,acupunteur·trice,acupunc⋅teur⋅trice,acupuncteur·e,acupuncteur·rice
adjoint,adjointe,adjoint·e,adjoint⋅e,adjoint·e,adjoint·e
adjoint administratif,adjointe administrative,adjoint·e administratif·ve,adjoint⋅e administrati⋅f⋅ve,adjoint·e administratif·ve,adjoint·e administratif·ve
administrateur,administratrice,administrateur·trice,administra·teur·trice,administrateur·e,administrateur·rice
agent,agente,agent·e,agent⋅e,agent·e,agent·e
agent immobilier,agente immobilière,agent·e immobilier·ère,agent⋅e immobilièr⋅e,agent·e immobilier·e,agente·e immobilier·ère
agriculteur,agricultrice,agriculteur·trice,agricul⋅teur⋅trice,pas d'usage connu,agriculteur·rice
agronome,agronome,agronome,agronome,agronome,agronome
agresseur,agresseuse,agresseur·euse,agresseu⋅r⋅se,agresseur·e,agresseur·euse
aide-comptable,aide-comptable,aide-comptable,aide-comptable,aide-comptable,aide-comptable
aide-mécanicien,aide-mécanicienne,aide-mécanicien·ne,aide-mécanicien⋅ne,aide-mécanicienne,aide-mécanicienne
ajusteur,ajusteuse,ajusteur·euse,ajusteu⋅r⋅se,pas d'usage connu,ajusteur·euse
ambulancier,ambulancière,ambulancier·ère,ambulancier⋅e,ambulancier·e,amb
ambassadeur,ambassadrice,ambassadeur·drice,ambassadeur⋅drice,,
ambassadeur,ambassaderesse,ambassadeur·deresse,ambassadeur,,
analyste financier,analyste financière,analyste financier·ère,analyste financier⋅ère,,
animateur,animatrice,animateur·trice,anima⋅teur⋅trice,,
annonceur,annonceuse,annonceur·euse,annonceu⋅r⋅se,,
apiculteur,apicultrice,apiculteur·trice,apicul⋅teur⋅trice,,
appariteur,apparitrice,appariteur·trice,appari⋅teur⋅trice,,
applicateur,applicatrice,applicateur·trice,applica⋅teur⋅trice,,
apprenti,apprentie,apprenti·e,apprenti⋅e,,
arbitre,arbitre,arbitre,arbitre,,
arboriculteur,arboricultrice,arboriculteur·trice,arboricul⋅teur⋅trice,,
archéologue,archéologue,archéologue,archéologue,,
architecte,architecte,architecte,architecte,,
archiviste,archiviste,archiviste,archiviste,,
arpenteur-géomètre,arpenteuse-géomètre,arpenteur·trice-géomètre,arpenteur⋅se-géomètre,,
artisan,artisane,artisan·e,artisan⋅e,,
assembleur,assembleuse,assembleur·se,assembleu⋅r⋅se,,
assesseur,assesseuse,assesseur·se,assesseu·r·se,assesseur·e,
assistant,assistante,assistant·e,assistant⋅e,,
associé,associée,associé·e,associé⋅e,,
assureur,assureuse,assureur·e,assureu⋅r⋅e,,
astrologue,astrologue,astrologue,astrologue,,
astronome,astronome,astronome,astronome,,
attaché,attachée,attaché·e,attaché⋅e,,
auteur,auteure / autrice,auteur·e,au⋅teur⋅trice,,
auxiliaire,auxiliaire,auxiliaire,auxiliaire,,
aviculteur,avicultrice,aviculteur·trice,avicul⋅teur⋅trice,,
avocat,avocate,avocat·e,avocat⋅e,,
ayant droit,ayant droit,ayant droit,un⋅e ayant droit,,
bagagiste,bagagiste,bagagiste,bagagiste,,
banquier,banquière,banquier·ère,banquièr⋅e,,
bibliothécaire,bibliothécaire,bibliothécaire,bibliothécaire,,
bijoutier,bijoutière,bijoutier·ère,bijoutièr⋅e,,
biologiste,biologiste,biologiste,biologiste,,
blanchisseur,blanchisseuse,blanchisseur·euse,blanchisseu⋅r⋅se,,
botaniste,botaniste,botaniste,botaniste,,
bottier,bottière,bottier·ère,bottier⋅ère,,
boucher,bouchère,boucher·ère,bouch⋅er⋅ère,,
boulanger ,boulangère ,boulanger·ère,boulanger⋅ère,,
boursier,boursière,boursier·ère,boursier⋅ère,,
boxeur,boxeuse,boxeur·euse,boxeu⋅r⋅se,,
brigadier,brigadière,brigardier·ère,bigadier⋅ère,,
briqueteur-maçon,briqueteuse-maçonne,briqueteur·euse-maçon·ne,briqueteur⋅euse-maçon⋅ne,,
bruiteur,bruiteuse,bruiteur·euse,bruiteu⋅r⋅se,,
buandier,buandière,buandier·euse,buandier⋅e,,
bûcheron,bûcheronne,bûcheron·ne,bucheron⋅ne,,
cadet,cadette,cadet·te,cadet⋅te,,
cadre,cadre,cadre,cadre,,
cadreur,cadreuse,cadreur·euse,cadreu⋅r⋅se,,
caissier,caissière,caissier·ère,caissier⋅e,,
cambiste,cambiste,cambiste,cambiste,,
camelot,camelot,camelot,camelot,,
camionneur,camionneuse,camionneur·euse,camionneu⋅r⋅se,cammioneure,
cardiologue,cardiologue,cardiologue,cardiologue,,
cartographe,cartographe,cartographe,cartographe,,
cascadeur,cascadeuse,cascadeur·deuse,cascadeu⋅r⋅se,,
catalogueur,catalogueuse,catalogueur·euse,catalogueur⋅se,,
cégépien,cégépienne,cégépien·enne,cégépie⋅n⋅ne,,
chanteur,chanteuse; cantatrice,chanteur·teuse,chanteu⋅r⋅se,,
charpentier,charpentière,charpentier·ère,charpentier⋅e,,
chasseur de têtes,chasseuse de têtes,chasseur·se de têtes,chass·eur⋅euse de tête,,
chauffeur,chauffeuse,chauffeur·euse,chauffeu⋅r⋅se,chauffeur·e,
chef,cheffe,chef·fe,chef⋅fe,,
chercheur,chercheuse,chercheur·euse,chercheu⋅r⋅se,,
chiropraticien,chiropraticienne,chiropractien·ne,chiropracticie⋅n⋅ne,,
chirurgien,chirurgienne,chirurgien·ne,chirurgie⋅n⋅ne,,
chômeur,chômeuse,chômeur·euse,chômeu⋅r⋅se / privé⋅e⋅ d'emploi,,
chorégraphe,chorégraphe,chorégraphe,chorégraphe,,
chroniqueur,chroniqueuse,chroniqueur·euse,chroniqueu⋅r⋅se,,
coiffeur,coiffeuse,coiffeur·euse,coiffeu⋅r⋅se,,
comédien,comédienne,comédien·ne,comédie⋅n⋅ne,,
commis,commis⋅e,commis·e,commis⋅e,,
commis-vendeur,commis-vendeuse,commis-vendeur·euse,commis⋅e-vendeu⋅r⋅se,,
commissaire,commissaire,commissaire,commissaire,,
communicateur,communicatrice,communicateur·trice,communica⋅teur⋅trice,,
communicant,communicante,communicant·e,communicant⋅e,,
compositeur,compositrice,compositeur·trice,composi⋅teur⋅trice,,
concepteur,conceptrice,concepteur·trice,concep⋅teur⋅trice,,
concierge,concierge,concierge,concierge,,
conducteur,conductrice,conducteur·trice,conduc⋅teur⋅trice,,
conférencier,conférencière,conférencier·ère,conférencier⋅e,,
conseil,conseil,conseil,conseil,,
conseiller,conseillère,conseiller·ère,conseiller⋅e,,
conservateur,conservatrice,conservateur·trice,conserva⋅teur⋅trice,,
consul,consule,consul·e,consul⋅e,,
consultant,consultante,consultant·e,consultant⋅e,,
contractuel,contractuelle,contractuel·le,contractue⋅l⋅le,,
contremaître,contremaîtresse,contremaître·sse,contremaître⋅sse,,
contrôleur,contrôleuse,contrôleur·leuse,contrôleu⋅r⋅se,,
coopérant,coopérante,coopérant·e,coopérant⋅e,,
coordonnateur,coordonnatrice,coordonateur·trice,coordona⋅teur⋅trice,,
copiste,copiste,copiste,copiste,,
cordonnier,cordonnière,cordonnier·ère,cordonnier⋅e,,
coroner,coroner,coroner,coroner,,
correcteur,correctrice,correcteur·trice,correc⋅teur⋅trice,,
correspondancier,correspondancière,correspondancier·ère,correspondancier⋅e,,
courrier,courrière,courrier·ère,courrier⋅e,,
courtier,courtière,courtier·ère,courtier⋅e,,
couseur,couseuse,couseur·euse,couseu⋅r⋅se,,
couturier,couturière,couturier·ère,couturier⋅e,,
couvreur,couvreuse,couvreur·euse,couvreu⋅r⋅euse,,
créateur,créatrice,créateur·trice,créa⋅teur⋅trice,,
croupier,croupière,croupier·ère,croupier⋅e,,
cuisinier,cuisinière,cuisinier·ère,cuisinier⋅e,,
cultivateur,cultivatrice,cultivateur·trice,cultiva⋅teur⋅trice,,
citoyen,citoyenne,citoyen·ne,citoye·n·ne,,
danseur,danseuse,danseur·euse,danseu⋅r⋅se,,
danseur de ballet,ballerine; danseuse de ballet,danseur·euse de ballet,ballerine/danseu⋅r⋅se de ballet,,
débardeur,débardeuse,débardeur·euse,débardeu⋅r⋅se,,
débinarisant,débinarisante,débinarisant·e,débinarisant·e,pas d'usage connu ,
débosseleur,débosseleuse,débosseleur·euse,débosseleu⋅r⋅se,,
décorateur,décoratrice,décorateur·trice,décora⋅teur⋅trice,,
défendeur,défenderesse (droit),défendeur·resse,défend⋅eur⋅eresse,,
défenseur,défenseuse,défenseur·euse,défenseu⋅r⋅se,,
délateur,délatrice,délateur·trice,déla⋅teur⋅trice,,
délégué,déléguée,délégué·e,délégué⋅e,,
demandeur,demanderesse,demandeur·eresse,,,
demandeur,demandeuse,demandeur·euse,demand.eur.euse,,
déménageur,déménageuse,démanageur·euse,déménageu⋅r⋅se,,
démonstrateur,démonstratrice,démonstrateur·trice,démonstra⋅teur⋅trice,,
dentiste,dentiste,dentiste,dentiste,,
denturologiste,denturologiste,denturologiste,denturologiste,,
dépanneur,dépanneuse,dépanneur·euse,dépanneu⋅r⋅se,,
député,députée,député·e,député⋅e,,
dessinateur,dessinatrice,dessinateur·trice,dessina⋅teur⋅trice,,
détective,détective,détective,détective,,
détenteur,détentrice,détenteur·trice,déten⋅teur⋅trice,,
diététiste,diététiste,diététiste,diététiste,,
diplomate,diplomate,diplomate,diplomate,,
diplômé,diplômée,diplômé·e,diplômé⋅e,,
directeur,directrice,directeur·trice,direc⋅teur⋅trice,,
dirigeant,dirigeante,dirigeant·e,dirigeant⋅e,,
docteur,docteure,docteur·e,docteur⋅e,,
docteur,doctoresse,docteur·oresse,doct·eur·oresse,,
documentaliste,documentaliste,documentaliste,documentaliste,,
doyen,doyenne,doyen·ne,doye⋅n⋅ne,,
ébéniste,ébéniste,ébéniste,ébéniste,,
éboueur,éboueuse,éboueur·euse,éboueu⋅r⋅se,,
éclairagiste,éclairagiste,éclairagiste,éclairagiste,,
économiste-conseil,économiste-conseil,économiste-conseil,économiste-conseil,,
écrivain,écrivaine,écrivain·e,écrivain⋅e,,
éditeur,éditrice,éditeur·trice,édi⋅teur⋅trice,,
éditorialiste,éditorialiste,éditorialiste,éditorialiste,,
éducateur,éducatrice,éducateur·trice,éduca⋅teur⋅trice,,
électricien,électricienne,électricien·ne,électricie⋅n⋅ne,,
éleveur,éleveuse,éleveur·euse,éleveu⋅r⋅se,,
emballeur,emballeuse,emballeur·euse,emballeu⋅r⋅se,,
embaumeur,embaumeuse,embaumeur·euse,embaumeu⋅r⋅se,,
émetteur,émettrice,émetteur·trice,émet⋅teur⋅trice,,
employeur,employeuse,employeur·euse,emplouey⋅r⋅se,,
emprunteur,emprunteuse,emprunteur·teuse,emprunteu⋅r⋅se,,
enquêteur,enquêtrice,enquêteur·trice,enquê⋅teur⋅trice,,
enseignant,enseignante,enseignant·e,enseignant⋅e,,
entraîneur,entraîneuse,entraîneur·euse,entraîneu⋅r⋅se,,
entrepreneur,entrepreneuse,entrepreneur·euse,entrepreneu⋅r⋅se,,
ergothérapeute,ergothérapeute,ergothérapeute,ergothérapeute,,
essayeur,essayeuse,essayeur·euse,essayeu⋅r⋅se,,
esthéticien,esthéticienne,esthéticienne,esthéticie⋅n⋅ne,,
estimateur,estimatrice,estimateur·trice,estima⋅teur⋅trice,,
étalagiste,étalagiste,étalagiste,étalagiste,,
évaluateur,évaluatrice,évaluateur·trice,évalua⋅teur⋅trice,,
examinateur,examinatrice,examinateur·trice,examina⋅teur⋅trice,,
expert,experte,expert·e,expert⋅e,,
expert-comptable,experte-comptable,expert·e-comptable,expert⋅e-comptable,,
exploitant,exploitante,exploitant·e,exploitant⋅e,,
fabricant,fabricante,fabricant·e,fabricant⋅e,,
facteur,factrice,facteur·trice,fac⋅teur⋅trice,,
ferblantier,ferblantière,ferblantier·ère,ferblantier⋅e,,
ferrailleur,ferrailleuse,ferrailleur·euse,ferrailleu⋅r⋅se,,
financier,financière,financier·ère,financier⋅e,,
fleuriste,fleuriste,fleuriste,fleuriste,,
fondeur,fondeuse,fondeur·euse,fondeu⋅r⋅se,,
foreur,foreuse,foreur·euse,foreu⋅r⋅se,,
forgeron,forgeronne,forgeron·ne,forgeron⋅ne,,
formateur,formatrice,formateur·trice,forma⋅teur⋅trice,,
fournisseur,fournisseuse,fournisseur·euse,fournisseu⋅r⋅se,,
fraiseur,fraiseuse,fraiseur·euse,fraiseu⋅r⋅se,,
franchiseur,franchiseuse,franchiseur·euse,franchiseu⋅r⋅se,,
garde,garde,garde,garde,,
garde forestier,garde forestière,garde forestier·ère,garde forestier⋅e,,
gardien,gardienne,gardien·ne,gardie⋅n⋅ne,,
généticien,généticienne,généticien·ne,généticie⋅n⋅ne,,
géologue,géologue,géologue,géologue,,
géomètre,géomètre,géomètre,géomètre,,
géophysicien,géophysicienne,géophysicien·ne,géophysicie⋅n⋅ne,,
gérant,gérante,gérant·e,gérant⋅e,,
gestionnaire,gestionnaire,gestionnaire,gestionnaire,,
gouverneur,gouverneure,gouverneur·e,gouverneur⋅e,,
graveur,graveuse,graveur·euse,graveu⋅r⋅se,,
greffier,greffière,greffier·ère,greffier⋅e,,
guichetier,guichetière,guichetier·ère,guichetier⋅e,,
guide,guide,guide,guide,,
habilleur,habilleuse,habilleur·euse,habilleu⋅r⋅se,,
horloger,horlogère,horloger·ère,horloger⋅ère,,
horticulteur,horticultrice,horticulteur·trice,horticulteur⋅trice,,
hôte (qui reçoit),hôtesse  ,hôte·sse,hôte; hôte⋅sse,hôte,
hôte (qui est reçu·e),hôte ,hôte,hôte; hôte⋅sse,hôte,
hôtelier,hôtelière,hôtelier·ère,hôtelier⋅ère,,
huileur,huileuse,huileur·euse,huileur⋅se,,
huissier,huissière,huissier·ère,huissier⋅ère,,
hygiéniste,hygiéniste,hygiéniste,hygiéniste,,
illustrateur,illustratrice,illustrateur·trice,illustrateur⋅trice,,
imprésario,imprésario,imprésario,imprésario,,
imprimeur,imprimeuse,imprimeur·euse,imprimeur⋅se,,
industriel,industrielle,industriel·le,insdustriel⋅le,,
infirmier,infirmière,infirmier·ère,infirmier⋅ère,,
infographiste,infographiste,infographiste,infographiste,,
informaticien,informaticienne,informaticien·ne,informaticien⋅ne,,
ingénieur,ingénieure,ingénieur·e,ingénieur⋅e,,
ingénieur chimiste,ingénieure chimiste,ingénieur·e chimiste,ingénieur⋅e chimiste,,
ingénieur civil,ingénieure civile,ingénieur·e civile,ingénieur⋅e civil⋅e,,
ingénieur forestier,ingénieure forestière,ingénieur·e forestière,ingénieur⋅e forestier⋅ère,,
inspecteur,inspectrice,inspecteur·trice,inspecteur⋅trice,,
instituteur,institutrice,instituteur·trice,instituteur⋅trice,,
instructeur,instructrice,instructeur·trice,instructeur⋅trice,,
intendant,intendante,intendant·e,intendant⋅e,,
intérimaire,intérimaire,intérimaire,intérimaire,,
interlocuteur,interlocutrice,interlocuteur·trice,interlocuteur⋅trice,,
interprète,interprète,interprète,interprète,,
intervenant,intervenante,intervenant·e,intervenant⋅e,,
intervieweur,intervieweuse,intervieweur·euse,intervieweur⋅se,,
investisseur,investisseuse,investisseur·euse,investisseur⋅se,,
jardinier,jardinière,jardinier·ère,jardinier⋅ère,,
journaliste,journaliste,journaliste,journaliste,,
journaliste sportif,journaliste sportive,journaliste sportif·ve,journaliste sportif⋅ve,,
juge,juge,juge,juge,,
juré,jurée,juré·e,juré⋅e,,
juriste,juriste,juriste,juriste,,
lamineur,lamineuse,lamineur·euse,lamineur⋅se,,
langagier,langagière,langagier·ère,langagier⋅ère,,
lecteur,lectrice,lecteur·trice,lecteur⋅trice,,
législateur,législatrice,législateur·trice,légalisateur⋅trice,,
lieutenant-gouverneur,lieutenante-gouverneure,lieutenant·e-gouverneur·e,lieutenant⋅e-gourverneur⋅e,,
linguiste,linguiste,linguiste,linguiste,,
machiniste,machiniste,machiniste,machiniste,,
maçon,maçonne,maçon·ne,maçon⋅ne,,
magasinier,magasinière,magasinier·ère,magasinier⋅ère,,
magistrat,magistrate,magistrat·e,magistrat⋅e,,
maire,maire,maire,maire,,
maître,maître; maîtresse,maître·sse,maître⋅sse,maître,
malfaiteur,malfaitrice,malfaiteur·trice,malfaiteur⋅trice,,
mannequin,mannequin,mannequin,mannequin,,
manœuvre,manœuvre,manœuvre,manœuvre,,
maquilleur,maquilleuse,maquilleur·euse,maquilleur⋅se,,
maraîcher,maraîchère,maraîcher·ère,maraîcher⋅ère,,
marchand,marchande,marchand·e,marchand⋅e,,
marguillier,marguillière,marguillier·ère,marguillier⋅ère,,
marin,marin,marin,marin,,
masseur,masseuse,masseur·euse,masseur⋅se,,
matelot,matelot,matelot,matelot,,
mathématicien,mathématicienne,mathématicien·ne,mathématicien⋅ne,,
mécanicien,mécanicienne,mécanicien·ne,mécanicien⋅ne,,
mécène,mécène,mécène,mécène,,
médecin,médecin,médecin,médecin,,
médiateur,médiatrice,médiateur·trice,médiateur⋅trice,,
membre,membre,membre,membre,,
menuisier,menuisière,menuisier·ère,menuisi·er⋅ère,,
messager,messagère,messager·ère,messager⋅ère,,
météorologue,météorologue,météorologue,météorologue,,
metteur en scène,metteuse en scène,metteur·euse en scène,metteur⋅se en scène,metteur·e en scène,
meunier,meunière,meunier,meunier⋅ère,,
mineur,mineuse,mineur·euse,mineur⋅se,,
ministre,ministre,ministre,ministre,,
modiste,modiste,modiste,modiste,,
moniteur,monitrice,moniteur·trice,moniteur⋅trice,,
monteur,monteuse,monteur·teuse,monteur⋅se,,
narrateur,narratrice,narrateur·trice,narrateur⋅trice,,
naturopraticien,naturopraticienne,naturopraticien·ne,naturopracticien⋅ne,,
navigateur,navigatrice,navigateur·trice,navigateur⋅trice,,
nettoyeur,nettoyeuse,nettoyeur·euse,nettoyeur⋅se,,
notaire,notaire,notaire,notaire,,
officier,officière,officier·ère,officier⋅ère,,
omnipraticien,omnipraticienne,omnipraticien·ne,omnipraticien⋅ne,,
opérateur,opératrice,opérateur·trice,opérateur⋅trice,,
opticien,opticienne,opticien·ne,opticien⋅ne,,
orateur,oratrice,orateur·trice,orateur⋅trice,,
orchestrateur,orchestratrice,orchestrateur·trice,orchestrateur⋅trice,,
orfèvre,orfèvre,orfèvre,orfèvre,,
orienteur,orienteuse,orienteur·euse,orienteur⋅se,,
ouvrier,ouvrière,ouvrier·ère,ouvrier⋅ère,,
pâtissier,pâtissière,pâtissier·ère,patissier⋅ère,,
patrouilleur,patrouilleuse,patrouilleur·euse,patrouilleur⋅se,,
paysagiste,paysagiste,paysagiste,paysagiste,paysagiste,
paysan,paysanne,paysan·ne,pays·an·anne,paysan·ne,
pédologue,pédologue,pédologue,pédologue,pédologue,
peintre,peintre,peintre,peintre,peintre,
peintre,peintresse,peintre·esse,peintr·e·esse,,
percepteur,perceptrice,percepteur·trice,percepteur⋅trice,,
perruquier,perruquière,perruquier·ère,perruquier⋅ère,,
pharmacien,pharmacienne,pharmacien·ne,pharmacien⋅ne,,
physicien,physicienne,physicien·ne,physicien⋅ne,,
physiothérapeute,physiothérapeute,physiothérapeute,physiothérapeute,,
pigiste,pigiste,pigiste,pigiste,,
pilote,pilote,pilote,pilote,,
pisciculteur,piscicultrice,pisciculteur·trice,pisciculteur⋅trice,,
plâtrier,plâtrière,plâtrier·ère,platrier⋅ère,,
plombier,plombière,plombier·ère,plombie⋅ère,,
plongeur,plongeuse,plongeur·euse,plongeur⋅se,,
poète,poète,poète,poète,,
policier,policière,policier·ère,policier⋅ère,,
polisseur,polisseuse,polisseur·euse,polisseur⋅polisseuse,,
pompier,pompière,pompier·ère,pompier⋅ère,,
porte-parole,porte-parole,porte-parole,porte-parole,,
poseur,poseuse,poseur·euse,poseur⋅se,,
postulant,postulante,postulant·e,postulant⋅e,,
potier,potière,potier·ère,potier⋅ère,,
pourvoyeur,pourvoyeuse,pourvoyeur·euse,pourvoyeur⋅se,,
praticien,praticienne,praticien·ne,praticien⋅ne,,
précurseur,précurseure,précurseur·e,précurseur⋅se,,
prédécesseur,prédécesseure,prédécesseur·e,prédécesseur⋅e,,
préfet,préfète,préfet·ète,préfet⋅ète,,
premier ministre,première ministre,premier·ère ministre,premier⋅ère ministre,,
préposé,préposée,préposé·e,préposé⋅e,,
présentateur,présentatrice,présentateur·trice,présentateur⋅trice,,
président,présidente,président·e,président⋅e,,
principal,principale,principal·e,principal⋅e,,
procureur,procureure,procureur·e,procureur⋅e,procureur·e,
producteur,productrice,producteur·trice,producteur⋅trice,,
professeur,professeure,professeur·e,professeur⋅e,professeur·e,
professeur-chercheur,professeure-chercheuse,professeur·e-chercheur·euse,professeur⋅e-chercheur⋅se,professeur·e-chercheur·e,
programmateur,programmatrice,programmateur·trice,programmateur⋅trice,,
programmeur,programmeuse,programmeur·euse,programmeur⋅se,,
promoteur,promotrice,promoteur·trice,promoteur⋅trice,,
prospecteur,prospectrice,prospecteur·trice,prospecteur⋅trice,,
puériculteur,puéricultrice,puériculteur·trice,puériculteur⋅trice,,
radiologiste,radiologiste,radiologiste,radiologiste,,
radiologue,radiologue,radiologue,radiologue,,
rapporteur,rapporteuse,rapporteur·euse,rapporteur⋅se,,
réalisateur,réalisatrice,réalisateur·trice,réalisateur⋅trice,,
recenseur,recenseuse,recenseur·euse,recenseur⋅se,,
réceptionniste,réceptionniste,réceptionniste,réceptionniste,,
recruteur,recruteuse,recruteur·euse,recruteur⋅se,,
recteur,rectrice,recteur·trice,recteur⋅trice,,
rédacteur,rédactrice,rédacteur·trice,redacteur⋅trice,,
régisseur,régisseuse,régisseur·euse,régisseur⋅se,,
registraire,registraire,registraire,registraire,,
rembourreur,rembourreuse,rembourreur·euse,rembourreur⋅se,,
remplaçant,remplaçante,remplaçant·e,remplaçant⋅e,,
réparateur,réparatrice,réparateur·trice,réparateur⋅trice,,
répartiteur,répartitrice,répartiteur·trice,répartiteur⋅trice,,
repasseur,repasseuse,repasseur·euse,repasseur⋅se,,
répétiteur,répétitrice,répétiteur·trice,répétiteur⋅trice,,
répondant,répondante,répondant·e,répondant⋅e,,
reporteur,reporteuse,reporteur·euse,reporteur⋅se,,
représentant,représentante,représentant·e,représentant⋅e,,
requérant,requérante,requérant·e,requérant⋅e,,
responsable,responsable,responsable,responsable,,
restaurateur,restauratrice,restaurateur·trice,restaurateur⋅trice,,
retraité,retraitée,retraité·e,retraité⋅e,,
réviseur,réviseure,réviseur·e,réviseur⋅e,,
sapeur-pompier,sapeuse-pompière,sapeur·se-pompier·ère,sapeur⋅se-pompier⋅ère,,
sauveteur,sauveteuse,sauveteur·euse,sauveteur⋅se,,
scrutateur,scrutatrice,scrutateur·trice,scrutateur⋅trice,,
sculpteur,sculptrice,sculpteur·trice,sculpteur⋅trice,sculpteur·e,
secrétaire,secrétaire,secrétaire,secrétaire,,
secrétaire-trésorier,secrétaire-trésorière,secrétaire-trésorier·ère,secrétaire-trésorier⋅ère,,
sénateur,sénatrice,sénateur·trice,sénateur⋅trice,,
sergent,sergente,sergent·e,sergent⋅e,,
serrurier,serrurière,serrurier·ère,serrurier⋅ère,,
serveur,serveuse,serveur·euse,serveur⋅se,,
soigneur,soigneuse,soigneur·euse,soigneur⋅se,,
solliciteur,solliciteuse,solliciteur·euse,solliciteur⋅se,,
soudeur,soudeuse,soudeur·euse,soudeur⋅se,,
souffleur,souffleuse,souffleur·euse,souffleur⋅se,,
sous-ministre,sous-ministre,sous-ministre,sous-ministre,,
sous-traitant,sous-traitante,sous-traitant·e,sous-traitant⋅e,,
stagiaire,stagiaire,stagiaire,stagiaire,,
statisticien,statisticienne,statisticien·ne,statisticien⋅ne,,
substitut,substitut,substitut,substitut,,
successeur,successeuse,successeur·euse,success·eur·eure,successeur·e,
supérieur,supérieure,supérieur·e,supérieur⋅e,,
superviseur,superviseuse,superviseur·euse,,,
surintendant,surintendante,surintendant·e,surintendant⋅e,,
surveillant,surveillante,surveillant·e,surveillant⋅e,,
syndic,syndique,syndic·que,syndic⋅que,,
tailleur,tailleuse,tailleur·euse,tailleu⋅r⋅se,,
tapissier,tapissière,tapissier·ère,tapissier⋅ère,,
technicien,technicienne,technicien·ne,technicien⋅ne,,
téléphoniste,téléphoniste,téléphoniste,téléphoniste,,
teneur de livres,teneuse de livres,teneur·euse de livres,teneu⋅r⋅se de livres,,
terminologue,terminologue,terminologue,terminologue,,
tisserand,tisserande,tisserand·e,tisserand⋅e,,
traducteur,traductrice,traducteur·trice,traduct⋅eur⋅rice,,
traiteur,traiteuse,traiteur·euse,traiteu⋅r⋅se,,
travailleur,travailleuse,travailleur·euse,travailleu⋅r⋅se,,
travailleur social,travailleuse sociale,travailleur·euse social,travailleu⋅r⋅se sociale,,
trésorier,trésorière,trésorier·ère,trésorier⋅ère,,
trieur,trieuse,trieur·euse,trieu⋅r⋅se,,
tuteur,tutrice,tuteur·trice,tut⋅eur⋅rice,,
tuyauteur,tuyauteuse,tuyauteur·euse,tuyauteu⋅r⋅se,,
typographe,typographe,typographe,typographe,,
urgentologue,urgentologue,urgentologue,urgentologue,,
usager,usagère,usager·ère,usager⋅ère,,
utilisateur,utilisatrice,utilisateur·trice,utilisateur⋅trice,,
vendeur,vendeuse,vendeur·euse,veudeur⋅euse,,
vérificateur,vérificatrice,vérificateur·trice,vérificateur⋅trice,,
vétérinaire,vétérinaire,vétérinaire,vétérinaire,,
vice-président,vice-présidente,vice-président·e,vice-président⋅e,,
vitrier,vitrière,vitrier·ère,vitrier⋅ère,,
voyagiste,voyagiste,voyagiste,voyagiste,,
voyant,voyante,voyant·e,voyant⋅e,,
zoologiste,zoologiste,zoologiste,zoologiste,,
,,,,,
le,la,le·la,,,
les,les,les,,,
un ,une,un·e,,,
uns,unes,un·es,,,
du ,de la ,du·de la ,,,
des,des,des,,,
ce,cette,ce·tte,,,
cet,cette,cet·te,,,
ces,ces,ces,,,
celui,celle,celui·celle,,,
mon,ma,mon·ma,,,
ton,ta,ton·ta,,,
son,sa,son·sa,,,
ses,ses,ses ,,,
nos,nos,nos,,,
notre,notre,notre,,,
vos,vos,vos,,,
votre,votre,votre,,,
celui,celle,celui·celle,,ceulle,
ceux,celles,ceux·celles,,ceulles;celleux,
tous,toutes,tous·tes,,toustes,
